"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"Oncomet_AlphaKG_pFBA",0,0,0.461179052699832,0.646171780054001,NA
"SA_Arachidonic_acid_metabolism_FBA",0,0,0.47474685334943,0.659275962078675,NA
"SA_Pyrimidine_synthesis_FBA",1631.798965,1133.32815375,0.475848375855173,0.659275962078675,0.694526824724392
"SA_Arginine_and_proline_metabolism_pFBA",0,0,0.49155248181762,0.677250086059832,NA
"Oncomet_Lactate_FBA",4025.688032,3084.535792,0.511639816739153,0.70103135111221,0.766213319929705
"SA_Fatty_acid_synthesis_FBA",0,0,0.516912300708871,0.704364014152747,NA
"SA_Galactose_metabolism_L1w",9.235e-05,3.665e-05,0.521668150882011,0.706960117042288,0.396859772604223
"SA_NAD_metabolism_FBA",0,0,0.532717185444249,0.71270569792288,NA
"SA_CoA_synthesis_FBA",0,0,0.533757864184472,0.71270569792288,NA
"SA_Alanine_and_aspartate_metabolism_pFBA",0,0,0.53452927344216,0.71270569792288,NA
"SA_Taurine_and_hypotaurine_metabolism_L1w",0,0,0.543730590546657,0.718879283759065,NA
"SA_Beta_Alanine_metabolism_L1w",0,0,0.545059887071583,0.718879283759065,NA
"SA_Hyaluronan_metabolism_L1w",0,0,0.547855583187352,0.718879283759065,NA
"SA_Glutathione_metabolism_FBA",1233.362891,1482.219447,0.55536815038004,0.722520760421063,1.20177075037358
"GlnDependence_L1w",0.9999687375,0.9999980785,0.557114980631865,0.722520760421063,1.0000293419173
"SA_CoA_catabolism_L1w",0,0,0.561103579113186,0.722520760421063,NA
"SA_Heme_degradation_FBA",0,0,0.562284301456714,0.722520760421063,NA
"SA_Heme_synthesis_FBA",0,0,0.571901478767367,0.73109055017684,NA
"SA_Eicosanoid_metabolism_pFBA",0,0,0.57578222720251,0.732276883826782,NA
"SA_Glyoxylate_and_dicarboxylate_metabolism_FBA",0,0,0.591183727738591,0.746769718098607,NA
